age,education_num,capital_gain,capital_loss,hours_per_week,education_Bachelors,education_Masters,education_Prof-school,marital_status_Married-civ-spouse,marital_status_Never-married,occupation_Exec-managerial,occupation_Other-service,relationship_Not-in-family,relationship_Own-child,gender_Male,income
25,7,0,0,40,False,False,False,False,True,False,False,False,True,True,0
38,9,0,0,50,False,False,False,True,False,False,False,False,False,True,0
28,12,0,0,40,False,False,False,True,False,False,False,False,False,True,1
44,10,7688,0,40,False,False,False,True,False,False,False,False,False,True,1
18,10,0,0,30,False,False,False,False,True,False,False,False,True,False,0
34,6,0,0,30,False,False,False,False,True,False,True,True,False,True,0
29,9,0,0,40,False,False,False,False,True,False,False,False,False,True,0
63,15,3103,0,32,False,False,True,True,False,False,False,False,False,True,1
24,10,0,0,40,False,False,False,False,True,False,True,False,False,False,0
55,4,0,0,10,False,False,False,True,False,False,False,False,False,True,0
65,9,6418,0,40,False,False,False,True,False,False,False,False,False,True,1
36,13,0,0,40,True,False,False,True,False,False,False,False,False,True,0
26,9,0,0,39,False,False,False,False,True,False,False,True,False,False,0
58,9,0,0,35,False,False,False,True,False,False,False,False,False,True,0
48,9,3103,0,48,False,False,False,True,False,False,False,False,False,True,1
43,14,0,0,50,False,True,False,True,False,True,False,False,False,True,1
20,10,0,0,25,False,False,False,False,True,False,True,False,True,True,0
43,9,0,0,30,False,False,False,True,False,False,False,False,False,False,0
37,9,0,0,20,False,False,False,False,False,False,False,False,False,False,0
40,16,0,0,45,False,False,False,True,False,False,False,False,False,True,1
34,13,0,0,47,True,False,False,True,False,False,False,False,False,True,1
34,10,0,0,35,False,False,False,False,True,False,True,False,True,False,0
72,4,0,0,6,False,False,False,False,False,False,False,True,False,False,0
25,13,0,0,43,True,False,False,False,True,False,False,True,False,True,0
25,13,0,0,40,True,False,False,True,False,False,False,False,False,True,0
45,9,7298,0,90,False,False,False,True,False,False,False,False,False,True,1
22,9,0,0,20,False,False,False,False,True,False,False,False,True,True,0
23,9,0,0,54,False,False,False,False,False,False,False,False,False,True,0
54,9,0,0,35,False,False,False,True,False,False,False,False,False,True,0
32,10,0,0,60,False,False,False,False,True,False,False,True,False,True,0
46,10,7688,0,38,False,False,False,True,False,True,False,False,False,True,1
56,7,0,0,50,False,False,False,False,False,False,True,False,False,False,0
24,13,0,0,50,True,False,False,False,True,False,False,True,False,True,0
23,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
26,9,0,0,40,False,False,False,False,False,True,False,False,False,False,0
65,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
36,13,0,0,40,True,False,False,True,False,False,False,False,False,True,1
22,3,0,0,50,False,False,False,False,True,False,False,True,False,True,0
17,6,0,0,40,False,False,False,False,True,False,False,True,False,True,0
20,9,0,0,40,False,False,False,False,True,False,False,False,True,True,0
65,14,0,0,50,False,True,False,True,False,False,False,False,False,True,1
44,11,0,0,45,False,False,False,True,False,False,False,False,False,True,1
36,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
29,7,0,0,40,False,False,False,True,False,False,True,False,False,True,0
20,10,0,0,32,False,False,False,False,True,False,False,False,True,True,0
28,11,0,0,36,False,False,False,True,False,False,False,False,False,False,1
39,4,0,0,40,False,False,False,True,False,False,False,False,False,True,0
54,10,3908,0,50,False,False,False,True,False,False,False,False,False,True,0
52,7,0,0,18,False,False,False,False,False,False,False,True,False,False,0
56,9,0,0,50,False,False,False,False,False,True,False,True,False,False,0
18,10,0,0,20,False,False,False,False,True,False,True,False,True,True,0
39,9,0,0,40,False,False,False,False,False,False,False,False,True,True,0
21,10,0,1721,24,False,False,False,False,True,False,True,False,True,False,0
22,9,14084,0,60,False,False,False,False,True,False,True,True,False,True,1
38,5,0,0,54,False,False,False,False,False,True,False,True,False,True,0
21,10,0,0,40,False,False,False,False,True,False,False,False,True,False,0
63,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
34,13,3103,0,50,True,False,False,True,False,True,False,False,False,True,1
42,9,5178,0,50,False,False,False,True,False,True,False,False,False,True,1
33,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
30,13,0,0,50,True,False,False,False,True,True,False,True,False,False,0
39,10,0,0,40,False,False,False,False,False,False,False,True,False,True,0
26,14,0,0,40,False,True,False,False,True,True,False,True,False,False,0
33,9,0,0,40,False,False,False,False,True,False,False,False,True,False,0
47,9,0,0,40,False,False,False,False,False,False,False,True,False,False,0
41,13,0,0,40,True,False,False,False,True,False,True,True,False,False,0
41,12,15024,0,60,False,False,False,True,False,False,False,False,False,True,1
19,10,0,0,20,False,False,False,False,True,False,True,False,True,True,0
46,9,0,0,40,False,False,False,False,False,False,False,True,False,True,0
43,9,0,0,48,False,False,False,True,False,False,False,False,False,True,0
55,10,15024,0,45,False,False,False,True,False,True,False,False,False,True,1
46,11,0,0,40,False,False,False,True,False,False,False,False,False,True,0
30,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
21,10,0,0,40,False,False,False,False,False,False,False,True,False,False,0
46,10,0,0,40,False,False,False,True,False,False,False,False,False,True,0
17,6,0,0,40,False,False,False,False,True,False,False,False,True,True,0
41,9,0,0,50,False,False,False,True,False,False,False,False,False,True,0
69,9,0,0,30,False,False,False,True,False,False,False,False,False,True,0
50,9,0,0,40,False,False,False,True,False,False,False,False,False,True,0
20,10,0,0,40,False,False,False,False,True,False,False,True,False,False,0
45,10,0,0,50,False,False,False,True,False,False,False,False,False,True,0
23,13,0,0,40,True,False,False,False,True,True,False,True,False,True,0
24,10,0,1876,40,False,False,False,False,False,False,True,True,False,True,0
44,9,99999,0,50,False,False,False,True,False,False,False,False,False,True,1
31,10,0,0,50,False,False,False,True,False,False,False,False,False,True,0
43,9,0,0,44,False,False,False,False,False,False,False,True,False,False,0
20,7,0,0,10,False,False,False,False,True,False,True,False,True,False,0
55,9,0,0,56,False,False,False,True,False,False,False,False,False,True,1
24,10,0,0,40,False,False,False,False,True,False,False,True,False,True,0
41,14,7688,0,10,False,True,False,True,False,False,False,False,False,False,1
59,13,0,0,25,True,False,False,False,True,True,False,True,False,False,0
49,4,0,0,20,False,False,False,False,True,False,True,True,False,True,0
33,14,5178,0,10,False,True,False,True,False,False,False,False,False,False,1
59,13,0,0,40,True,False,False,False,False,False,False,True,False,True,0
